Gene stable ID	Human gene stable ID	Human gene name	Gene name
ENSMUSG00000065417	ENSG00000198995	MIR340	Mir340
ENSMUSG00000065581	ENSG00000207624	MIR194-1	Mir194-1
ENSMUSG00000088417	ENSG00000199953	RNA5SP443	Gm24238
ENSMUSG00000088992	ENSG00000283369	AL606804.2	Gm22769
ENSMUSG00000096296	ENSG00000221241	SNORD88A	Snord88c
ENSMUSG00000064859	ENSG00000199846	RNU1-72P	Gm24524
ENSMUSG00000095319	ENSG00000200424	RNU6-1155P	Gm25465
ENSMUSG00000065684	ENSG00000253066	RNU6-709P	Gm23733
ENSMUSG00000096324	ENSG00000212428	AC124303.1	Gm26336
ENSMUSG00000096324	ENSG00000212528	SNORD115-47	Gm26336
ENSMUSG00000088031	ENSG00000223120	RN7SKP181	Gm24990
ENSMUSG00000088818	ENSG00000271765	RN7SKP299	Gm22389
ENSMUSG00000088818	ENSG00000252484	RN7SKP49	Gm22389
ENSMUSG00000094610	ENSG00000212428	AC124303.1	Gm23076
ENSMUSG00000094610	ENSG00000212528	SNORD115-47	Gm23076
ENSMUSG00000094308	ENSG00000212428	AC124303.1	Gm24926
ENSMUSG00000094308	ENSG00000212528	SNORD115-47	Gm24926
ENSMUSG00000065851	ENSG00000206763	RNU6-10P	Gm22352
ENSMUSG00000098394	ENSG00000276398	AC018659.5	Gm27999
ENSMUSG00000087887	ENSG00000212228	AC009121.2	Gm23598
ENSMUSG00000087764	ENSG00000277209	RPPH1	Gm23984
ENSMUSG00000089077	ENSG00000239007	RNU7-95P	Gm24501
ENSMUSG00000096710	ENSG00000199334	RNA5S11	n-R5s117
ENSMUSG00000065578	ENSG00000207737	MIR181B2	Mir181b-2
ENSMUSG00000089603	ENSG00000206870	RNU6-398P	Gm23059
ENSMUSG00000087766	ENSG00000252859	RNU6-375P	Gm23982
ENSMUSG00000064719	ENSG00000200877	RNU6-560P	Gm25930
ENSMUSG00000093864	ENSG00000199905	RNU6-492P	Gm22633
ENSMUSG00000065206	ENSG00000202240	RNU6-737P	Gm24611
ENSMUSG00000096186	ENSG00000200424	RNU6-1155P	Gm23306
ENSMUSG00000096328	ENSG00000212428	AC124303.1	Gm26337
ENSMUSG00000096328	ENSG00000212528	SNORD115-47	Gm26337
ENSMUSG00000064698	ENSG00000199773	RNU1-76P	Gm24152
ENSMUSG00000084753	ENSG00000252962	RNU6-993P	Gm22452
ENSMUSG00000094636	ENSG00000212428	AC124303.1	Gm24219
ENSMUSG00000094636	ENSG00000212528	SNORD115-47	Gm24219
ENSMUSG00000065145	ENSG00000252485	AC007679.3	Vaultrc5
ENSMUSG00000065145	ENSG00000251900	VTRNA2-2P	Vaultrc5
ENSMUSG00000065145	ENSG00000252283	AC100852.1	Vaultrc5
ENSMUSG00000070108	ENSG00000272080	MIR502	Mir500
ENSMUSG00000065305	ENSG00000201847	SNORD31B	Gm23246
ENSMUSG00000089247	ENSG00000221300	AC025750.2	Gm24051
ENSMUSG00000089247	ENSG00000221711	AC104701.1	Gm24051
ENSMUSG00000093830	ENSG00000212428	AC124303.1	Gm23145
ENSMUSG00000093830	ENSG00000212528	SNORD115-47	Gm23145
ENSMUSG00000087872	ENSG00000253020	RN7SKP40	Gm26098
ENSMUSG00000087872	ENSG00000252982	RN7SKP234	Gm26098
ENSMUSG00000065701	ENSG00000201098	RNY1	Rny1
ENSMUSG00000093245	ENSG00000252682	AL354980.1	Gm50449
ENSMUSG00000093245	ENSG00000252517	AC006196.1	Gm50449
ENSMUSG00000087835	ENSG00000199986	RNU6-486P	Gm24481
ENSMUSG00000096680	ENSG00000232423	PRAMEF6	AC164084.3
ENSMUSG00000096680	ENSG00000204505	PRAMEF9	AC164084.3
ENSMUSG00000096680	ENSG00000204479	PRAMEF17	AC164084.3
ENSMUSG00000096680	ENSG00000237700	PRAMEF33	AC164084.3
ENSMUSG00000096680	ENSG00000204501	PRAMEF15	AC164084.3
ENSMUSG00000096680	ENSG00000204480	PRAMEF19	AC164084.3
ENSMUSG00000096680	ENSG00000229571	PRAMEF25	AC164084.3
ENSMUSG00000096680	ENSG00000116721	PRAMEF1	AC164084.3
ENSMUSG00000096680	ENSG00000204481	PRAMEF14	AC164084.3
ENSMUSG00000096680	ENSG00000243073	PRAMEF4	AC164084.3
ENSMUSG00000096680	ENSG00000270601	PRAMEF5	AC164084.3
ENSMUSG00000096680	ENSG00000187545	PRAMEF10	AC164084.3
ENSMUSG00000096680	ENSG00000279169	PRAMEF13	AC164084.3
ENSMUSG00000096680	ENSG00000116726	PRAMEF12	AC164084.3
ENSMUSG00000096680	ENSG00000280267	PRAMEF26	AC164084.3
ENSMUSG00000096680	ENSG00000239810	PRAMEF11	AC164084.3
ENSMUSG00000096680	ENSG00000274764	PRAMEF27	AC164084.3
ENSMUSG00000096680	ENSG00000204478	PRAMEF20	AC164084.3
ENSMUSG00000096680	ENSG00000182330	PRAMEF8	AC164084.3
ENSMUSG00000096680	ENSG00000120952	PRAMEF2	AC164084.3
ENSMUSG00000096680	ENSG00000204510	PRAMEF7	AC164084.3
ENSMUSG00000096680	ENSG00000279804	PRAMEF18	AC164084.3
ENSMUSG00000065465	ENSG00000207932	MIR33A	Mir33
ENSMUSG00000094833	ENSG00000206981	RNU6-40P	Gm25473
ENSMUSG00000094661	ENSG00000172724	CCL19	Ccl19
ENSMUSG00000092885	ENSG00000284261	MIR4657	Gm22123
ENSMUSG00000094565	ENSG00000212428	AC124303.1	Gm25229
ENSMUSG00000094565	ENSG00000212528	SNORD115-47	Gm25229
ENSMUSG00000065883	ENSG00000238297	AC005046.1	Gm22865
ENSMUSG00000065883	ENSG00000221633	AC016948.1	Gm22865
ENSMUSG00000065883	ENSG00000221400	SNORD3J	Gm22865
ENSMUSG00000064734	ENSG00000252334	RNU6-1337P	Gm23445
ENSMUSG00000098254	ENSG00000278026	AC117415.2	Gm27611
ENSMUSG00000095652	ENSG00000200381	RNA5S4	n-R5s123
ENSMUSG00000065680	ENSG00000202031	SNORD38A	Snord38a
ENSMUSG00000096236	ENSG00000232423	PRAMEF6	AC165294.2
ENSMUSG00000096236	ENSG00000204505	PRAMEF9	AC165294.2
ENSMUSG00000096236	ENSG00000204479	PRAMEF17	AC165294.2
ENSMUSG00000096236	ENSG00000237700	PRAMEF33	AC165294.2
ENSMUSG00000096236	ENSG00000204501	PRAMEF15	AC165294.2
ENSMUSG00000096236	ENSG00000204480	PRAMEF19	AC165294.2
ENSMUSG00000096236	ENSG00000229571	PRAMEF25	AC165294.2
ENSMUSG00000096236	ENSG00000116721	PRAMEF1	AC165294.2
ENSMUSG00000096236	ENSG00000204481	PRAMEF14	AC165294.2
ENSMUSG00000096236	ENSG00000243073	PRAMEF4	AC165294.2
ENSMUSG00000096236	ENSG00000270601	PRAMEF5	AC165294.2
ENSMUSG00000096236	ENSG00000187545	PRAMEF10	AC165294.2
ENSMUSG00000096236	ENSG00000279169	PRAMEF13	AC165294.2
ENSMUSG00000096236	ENSG00000116726	PRAMEF12	AC165294.2
ENSMUSG00000096236	ENSG00000280267	PRAMEF26	AC165294.2
ENSMUSG00000096236	ENSG00000239810	PRAMEF11	AC165294.2
ENSMUSG00000096236	ENSG00000274764	PRAMEF27	AC165294.2
ENSMUSG00000096236	ENSG00000204478	PRAMEF20	AC165294.2
ENSMUSG00000096236	ENSG00000182330	PRAMEF8	AC165294.2
ENSMUSG00000096236	ENSG00000120952	PRAMEF2	AC165294.2
ENSMUSG00000096236	ENSG00000204510	PRAMEF7	AC165294.2
ENSMUSG00000096236	ENSG00000279804	PRAMEF18	AC165294.2
ENSMUSG00000089229	ENSG00000277209	RPPH1	Gm25043
ENSMUSG00000065041	ENSG00000206760	SNORA6	Gm24044
ENSMUSG00000065303	ENSG00000202380	RNU1-55P	Gm23249
ENSMUSG00000089285	ENSG00000252837	RN7SKP99	Gm26028
ENSMUSG00000088296	ENSG00000239007	RNU7-95P	Gm26409
ENSMUSG00000065866	ENSG00000201737	RNU1-133P	Gm24032
ENSMUSG00000099206	ENSG00000252156	RNU6-155P	Gm27942
ENSMUSG00000099117	ENSG00000273537	AC009951.1	Gm27404
ENSMUSG00000064405	ENSG00000201512	SNORA71C	Gm23925
ENSMUSG00000098750	ENSG00000251992	SCARNA17	Gm27653
ENSMUSG00000076451	ENSG00000211574	MIR770	Mir770
ENSMUSG00000093856	ENSG00000206712	RNU6-26P	Gm24311
ENSMUSG00000088326	ENSG00000252879	RN7SKP98	Gm25667
ENSMUSG00000078240	ENSG00000162244	RPL29	Gm3550
ENSMUSG00000089109	ENSG00000277209	RPPH1	Gm23916
ENSMUSG00000088675	ENSG00000252350	RPPH1-3P	Rprl1
ENSMUSG00000096306	ENSG00000212428	AC124303.1	Gm25209
ENSMUSG00000096306	ENSG00000212528	SNORD115-47	Gm25209
ENSMUSG00000064642	ENSG00000207503	AP001610.1	Gm23299
ENSMUSG00000064642	ENSG00000206799	SNORA32	Gm23299
ENSMUSG00000064642	ENSG00000206776	AC021733.1	Gm23299
ENSMUSG00000064642	ENSG00000201384	AC007375.1	Gm23299
ENSMUSG00000095997	ENSG00000212428	AC124303.1	Gm24702
ENSMUSG00000095997	ENSG00000212528	SNORD115-47	Gm24702
ENSMUSG00000098838	ENSG00000199020	MIR381	Mir381
ENSMUSG00000094625	ENSG00000212428	AC124303.1	Gm22524
ENSMUSG00000094625	ENSG00000212528	SNORD115-47	Gm22524
ENSMUSG00000088408	ENSG00000199512	RNU6-212P	Gm25881
ENSMUSG00000084440	ENSG00000199325	RNU4-39P	Gm26254
ENSMUSG00000065501	ENSG00000199043	MIR335	Mir335
ENSMUSG00000065795	ENSG00000212172	RNU1-149P	Gm25513
ENSMUSG00000065795	ENSG00000206687	RNU1-109P	Gm25513
ENSMUSG00000065795	ENSG00000200296	RNU1-83P	Gm25513
ENSMUSG00000089281	ENSG00000251791	SCARNA6	Scarna6
ENSMUSG00000088587	ENSG00000200215	SNORD113-6	Gm22962
ENSMUSG00000065280	ENSG00000274544	SNORD28	Gm24453
ENSMUSG00000065765	ENSG00000207402	RNU6-959P	Gm23851
ENSMUSG00000088760	ENSG00000207163	RNU6-905P	Gm24393
ENSMUSG00000105196	ENSG00000284353	MIR142	Mir142
ENSMUSG00000099132	ENSG00000201036	AL132709.2	Gm27604
ENSMUSG00000099132	ENSG00000200150	AL132709.1	Gm27604
ENSMUSG00000064500	ENSG00000264549	SNORD95	Gm25296
ENSMUSG00000084504	ENSG00000252909	RNU6-201P	Gm25323
ENSMUSG00000088474	ENSG00000200718	RN7SKP103	Gm23085
ENSMUSG00000093981	ENSG00000212428	AC124303.1	Gm24862
ENSMUSG00000093981	ENSG00000212528	SNORD115-47	Gm24862
ENSMUSG00000077191	ENSG00000212161	AL590560.1	Snord64
ENSMUSG00000080689	ENSG00000221303	SNORA79	Gm23987
ENSMUSG00000088749	ENSG00000202260	RN7SKP69	Gm23218
ENSMUSG00000094050	ENSG00000222985	RNU2-14P	Gm23472
ENSMUSG00000094050	ENSG00000222627	RNU2-37P	Gm23472
ENSMUSG00000094050	ENSG00000222724	RNU2-63P	Gm23472
ENSMUSG00000080469	ENSG00000283551	SNORD98	Snord98
ENSMUSG00000077199	ENSG00000274998	SNORA17A	Gm22266
ENSMUSG00000095501	ENSG00000212428	AC124303.1	Gm22449
ENSMUSG00000095501	ENSG00000212528	SNORD115-47	Gm22449
ENSMUSG00000065433	ENSG00000199005	MIR370	Mir370
ENSMUSG00000064958	ENSG00000206918	RNU6-1181P	Gm24921
ENSMUSG00000089476	ENSG00000239190	RNU6-717P	Gm25364
ENSMUSG00000077358	ENSG00000212309	SNORD70B	Gm26293
ENSMUSG00000065837	ENSG00000202304	RNU6-1130P	Gm23503
ENSMUSG00000089068	ENSG00000239007	RNU7-95P	Gm22841
ENSMUSG00000089296	ENSG00000206777	RNU6-637P	Gm23205
ENSMUSG00000092713	ENSG00000265706	SNORD53B	Gm22858
ENSMUSG00000099179	ENSG00000278218	AC003657.2	Gm27980
ENSMUSG00000094965	ENSG00000252906	SCARNA3	Gm22416
ENSMUSG00000088294	ENSG00000200215	SNORD113-6	AF357425
ENSMUSG00000095472	ENSG00000221241	SNORD88A	Snord88a
ENSMUSG00000105849	ENSG00000199107	MIR409	Mir409
ENSMUSG00000088144	ENSG00000199571	AC121336.1	Gm24559
ENSMUSG00000065329	ENSG00000252990	RNU1-54P	Gm22054
ENSMUSG00000096801	ENSG00000206877	RNU6-1103P	Gm23412
ENSMUSG00000064768	ENSG00000199321	AL512272.1	Snord60
ENSMUSG00000064768	ENSG00000252692	AC244035.3	Snord60
ENSMUSG00000064768	ENSG00000206630	SNORD60	Snord60
ENSMUSG00000065760	ENSG00000222327	RNU6-855P	Gm23848
ENSMUSG00000094548	ENSG00000212428	AC124303.1	Gm25221
ENSMUSG00000094548	ENSG00000212528	SNORD115-47	Gm25221
ENSMUSG00000065429	ENSG00000198984	MIR345	Mir345
ENSMUSG00000084537	ENSG00000223202	RN7SKP297	Gm25845
ENSMUSG00000084537	ENSG00000201912	RN7SKP189	Gm25845
ENSMUSG00000084537	ENSG00000200472	RN7SKP44	Gm25845
ENSMUSG00000065510	ENSG00000199051	MIR361	Mir361
ENSMUSG00000065715	ENSG00000207297	SNORD7	Snord7
ENSMUSG00000065378	ENSG00000223004	AC106821.2	Gm22744
ENSMUSG00000084644	ENSG00000200857	AC004966.1	Gm24379
ENSMUSG00000084644	ENSG00000201690	RNY1P2	Gm24379
ENSMUSG00000084644	ENSG00000222509	AC007405.1	Gm24379
ENSMUSG00000084644	ENSG00000200174	AL162739.1	Gm24379
ENSMUSG00000084644	ENSG00000206959	AL157838.2	Gm24379
ENSMUSG00000084644	ENSG00000195401	AL513534.1	Gm24379
ENSMUSG00000065118	ENSG00000207008	SNORA54	Gm23297
ENSMUSG00000065637	ENSG00000251922	AL137186.3	Gm26397
ENSMUSG00000065637	ENSG00000207181	SNORA14B	Gm26397
ENSMUSG00000096136	ENSG00000212428	AC124303.1	Gm25146
ENSMUSG00000096136	ENSG00000212528	SNORD115-47	Gm25146
ENSMUSG00000089509	ENSG00000201672	SNORD113-4	Gm23474
ENSMUSG00000077155	ENSG00000212387	RNU6-1055P	Gm24582
ENSMUSG00000092912	ENSG00000252636	RNU6-826P	Gm24086
ENSMUSG00000080342	ENSG00000221656	MIR1225	Gm24589
ENSMUSG00000116275	ENSG00000215817	ZC3H11B	Zc3h11a
ENSMUSG00000116275	ENSG00000058673	ZC3H11A	Zc3h11a
ENSMUSG00000064422	ENSG00000207459	RNU6-1311P	Gm22502
ENSMUSG00000077681	ENSG00000212428	AC124303.1	Gm22496
ENSMUSG00000077681	ENSG00000212528	SNORD115-47	Gm22496
ENSMUSG00000065242	ENSG00000206926	RNU6-1024P	Gm22294
ENSMUSG00000088856	ENSG00000212228	AC009121.2	Gm24727
ENSMUSG00000094639	ENSG00000200424	RNU6-1155P	Gm24218
ENSMUSG00000075726	ENSG00000212428	AC124303.1	Gm23254
ENSMUSG00000075726	ENSG00000212528	SNORD115-47	Gm23254
ENSMUSG00000065548	ENSG00000284214	MIR29C	Mir29c
ENSMUSG00000065500	ENSG00000207744	MIR10B	Mir10b
ENSMUSG00000089069	ENSG00000252840	AL365436.3	Gm22840
ENSMUSG00000084639	ENSG00000222111	RN7SKP148	Gm23888
ENSMUSG00000084639	ENSG00000200761	RN7SKP113	Gm23888
ENSMUSG00000088776	ENSG00000251958	RNU6-1102P	Gm26038
ENSMUSG00000089370	ENSG00000201032	RNU6-704P	Gm22140
ENSMUSG00000099243	ENSG00000273908	AL049692.2	Gm27538
ENSMUSG00000092819	ENSG00000238363	SNORA13	Gm23639
ENSMUSG00000094888	ENSG00000212428	AC124303.1	Gm25120
ENSMUSG00000094888	ENSG00000212528	SNORD115-47	Gm25120
ENSMUSG00000065767	ENSG00000222985	RNU2-14P	Gm23849
ENSMUSG00000065767	ENSG00000222627	RNU2-37P	Gm23849
ENSMUSG00000065767	ENSG00000222724	RNU2-63P	Gm23849
ENSMUSG00000087781	ENSG00000212228	AC009121.2	Gm23168
ENSMUSG00000088266	ENSG00000212228	AC009121.2	Gm24782
ENSMUSG00000098978	ENSG00000275502	AL359751.1	Gm27545
ENSMUSG00000098260	ENSG00000278055	AC007938.6	Gm27522
ENSMUSG00000088812	ENSG00000199529	RNU6-462P	Gm22384
ENSMUSG00000088726	ENSG00000212228	AC009121.2	Gm22210
ENSMUSG00000084505	ENSG00000252472	RNU6-521P	Gm25322
ENSMUSG00000084505	ENSG00000207435	RNU6-114P	Gm25322
ENSMUSG00000089479	ENSG00000252082	RNU6-547P	Gm25362
ENSMUSG00000064427	ENSG00000206633	SNORA80B	Gm22748
ENSMUSG00000099000	ENSG00000222667	RNU6-394P	Gm27659
ENSMUSG00000065448	ENSG00000207978	MIR154	Mir154
ENSMUSG00000098717	ENSG00000273961	AC004080.7	Gm28032
ENSMUSG00000094148	ENSG00000212428	AC124303.1	Gm24952
ENSMUSG00000094148	ENSG00000212528	SNORD115-47	Gm24952
ENSMUSG00000088196	ENSG00000278010	AL627230.4	Gm23902
ENSMUSG00000088196	ENSG00000252014	AC107393.2	Gm23902
ENSMUSG00000088196	ENSG00000252199	AC018692.1	Gm23902
ENSMUSG00000088196	ENSG00000252724	CR769767.2	Gm23902
ENSMUSG00000088196	ENSG00000252133	AL590399.7	Gm23902
ENSMUSG00000088196	ENSG00000276094	AL591926.2	Gm23902
ENSMUSG00000065011	ENSG00000252523	RNU6-267P	Gm23506
ENSMUSG00000065011	ENSG00000252037	RNU6-162P	Gm23506
ENSMUSG00000094020	ENSG00000207060	RNU6-480P	Gm23003
ENSMUSG00000088219	ENSG00000209482	SNORD83A	Gm22077
ENSMUSG00000088265	ENSG00000239007	RNU7-95P	Gm24784
ENSMUSG00000065031	ENSG00000206758	RNU6-317P	Gm22364
ENSMUSG00000094982	ENSG00000207077	RNU6-1119P	Gm23725
ENSMUSG00000087790	ENSG00000239043	SNORD127	Gm25970
ENSMUSG00000098373	ENSG00000273966	AC015978.1	Gm27679
ENSMUSG00000098373	ENSG00000278391	AC007241.1	Gm27679
ENSMUSG00000098367	ENSG00000277444	AC009951.3	Gm27645
ENSMUSG00000088490	ENSG00000207185	RNU6-1157P	Gm24400
ENSMUSG00000088490	ENSG00000222170	RNU6-257P	Gm24400
ENSMUSG00000098709	ENSG00000275161	AL117190.5	Gm27528
ENSMUSG00000084467	ENSG00000201285	RNA5SP524	n-R5s24
ENSMUSG00000094283	ENSG00000212428	AC124303.1	Gm26434
ENSMUSG00000094283	ENSG00000212528	SNORD115-47	Gm26434
ENSMUSG00000095149	ENSG00000239007	RNU7-95P	Gm24390
ENSMUSG00000065434	ENSG00000284179	MIR7-1	Mir7-1
ENSMUSG00000096291	ENSG00000212428	AC124303.1	Gm23933
ENSMUSG00000096291	ENSG00000212528	SNORD115-47	Gm23933
ENSMUSG00000065939	ENSG00000207313	SNORA2B	Snora2b
ENSMUSG00000077517	ENSG00000207503	AP001610.1	Gm25876
ENSMUSG00000077517	ENSG00000206799	SNORA32	Gm25876
ENSMUSG00000077517	ENSG00000206776	AC021733.1	Gm25876
ENSMUSG00000077517	ENSG00000201384	AC007375.1	Gm25876
ENSMUSG00000077857	ENSG00000207328	RNU6-636P	Gm25061
ENSMUSG00000080452	ENSG00000284464	MIR1306	Mir1306
ENSMUSG00000064918	ENSG00000280554	AC116913.2	Gm22571
ENSMUSG00000087842	ENSG00000222607	RNU6-628P	Gm25622
ENSMUSG00000065486	ENSG00000199132	MIR450A1	Mir450-1
ENSMUSG00000088051	ENSG00000200338	RNU1-49P	Gm26150
ENSMUSG00000084536	ENSG00000222874	RN7SKP33	Gm25844
ENSMUSG00000084536	ENSG00000222842	RN7SKP168	Gm25844
ENSMUSG00000084536	ENSG00000223040	RN7SKP144	Gm25844
ENSMUSG00000098925	ENSG00000238297	AC005046.1	Rnu3b2
ENSMUSG00000098925	ENSG00000221633	AC016948.1	Rnu3b2
ENSMUSG00000098925	ENSG00000221400	SNORD3J	Rnu3b2
ENSMUSG00000064945	ENSG00000202354	RNY3	Rny3
ENSMUSG00000064604	ENSG00000273544	SNORA44	Snora44
ENSMUSG00000065036	ENSG00000278010	AL627230.4	Gm22362
ENSMUSG00000065036	ENSG00000252014	AC107393.2	Gm22362
ENSMUSG00000065036	ENSG00000252199	AC018692.1	Gm22362
ENSMUSG00000065036	ENSG00000252724	CR769767.2	Gm22362
ENSMUSG00000065036	ENSG00000252133	AL590399.7	Gm22362
ENSMUSG00000065036	ENSG00000276094	AL591926.2	Gm22362
ENSMUSG00000088589	ENSG00000251739	RNU6-1053P	Gm22961
ENSMUSG00000084694	ENSG00000222982	RN7SKP216	Gm24893
ENSMUSG00000077253	ENSG00000201382	RNU6-558P	Gm26076
ENSMUSG00000065330	ENSG00000207156	RNU6-505P	Gm25755
ENSMUSG00000064606	ENSG00000207309	RNU4-70P	Gm25899
ENSMUSG00000064606	ENSG00000200653	RNU4-92P	Gm25899
ENSMUSG00000064663	ENSG00000202337	RNU6-8	Gm24859
ENSMUSG00000064663	ENSG00000201654	RNU6-7	Gm24859
ENSMUSG00000065916	ENSG00000202380	RNU1-55P	Gm24446
ENSMUSG00000084748	ENSG00000276103	AL356356.2	Gm25289
ENSMUSG00000095118	ENSG00000207118	SNORD14D	Snord14d
ENSMUSG00000087841	ENSG00000253066	RNU6-709P	Gm25623
ENSMUSG00000087714	ENSG00000222635	RNU6-1203P	Gm25827
ENSMUSG00000065599	ENSG00000207563	MIR23B	Mir23b
ENSMUSG00000087726	ENSG00000222934	RN7SKP284	Gm26275
ENSMUSG00000087823	ENSG00000206996	RNU6-842P	Gm22281
ENSMUSG00000087823	ENSG00000253005	RNU6-176P	Gm22281
ENSMUSG00000095778	ENSG00000239007	RNU7-95P	Gm23016
ENSMUSG00000093289	ENSG00000264994	SNORD92	Snord92
ENSMUSG00000088528	ENSG00000200957	RNU6-801P	Gm26084
ENSMUSG00000088471	ENSG00000200424	RNU6-1155P	Gm23080
ENSMUSG00000088825	ENSG00000252341	AC012640.2	Gm25223
ENSMUSG00000088060	ENSG00000212228	AC009121.2	Gm24475
ENSMUSG00000084643	ENSG00000252978	RN7SKP183	Gm24385
ENSMUSG00000064919	ENSG00000252622	RNU6-881P	Gm22572
ENSMUSG00000064919	ENSG00000251774	RNU6-377P	Gm22572
ENSMUSG00000064919	ENSG00000200815	RNU6-1091P	Gm22572
ENSMUSG00000094730	ENSG00000207504	RNU6-1031P	Gm26178
ENSMUSG00000094730	ENSG00000206681	RNU6-730P	Gm26178
ENSMUSG00000089407	ENSG00000199551	RNU6-545P	Gm24878
ENSMUSG00000092730	ENSG00000275994	SNORA24	Snora24
ENSMUSG00000089438	ENSG00000212219	RNU6-604P	Gm23194
ENSMUSG00000088836	ENSG00000212228	AC009121.2	Gm23546
ENSMUSG00000084520	ENSG00000223107	RNU2-72P	CAAA01124250.1
ENSMUSG00000098566	ENSG00000275372	AC009951.2	Gm27761
ENSMUSG00000064496	ENSG00000201036	AL132709.2	DQ267101
ENSMUSG00000064496	ENSG00000200150	AL132709.1	DQ267101
ENSMUSG00000099323	ENSG00000273701	AC109486.2	Gm28016
ENSMUSG00000095220	ENSG00000212428	AC124303.1	Gm23560
ENSMUSG00000095220	ENSG00000212528	SNORD115-47	Gm23560
ENSMUSG00000065526	ENSG00000199151	MIR337	Mir337
ENSMUSG00000064573	ENSG00000212278	AC091857.1	Gm25802
ENSMUSG00000064573	ENSG00000199934	AC092807.1	Gm25802
ENSMUSG00000064573	ENSG00000202023	AC078842.1	Gm25802
ENSMUSG00000088748	ENSG00000201744	RNU6-34P	Gm23219
ENSMUSG00000065648	ENSG00000201815	RNU6-526P	Gm25895
ENSMUSG00000089491	ENSG00000251822	AC090022.1	Gm26363
ENSMUSG00000089491	ENSG00000251974	AC009408.2	Gm26363
ENSMUSG00000096271	ENSG00000137077	CCL21	Ccl21b
ENSMUSG00000095728	ENSG00000232423	PRAMEF6	AC125178.3
ENSMUSG00000095728	ENSG00000204505	PRAMEF9	AC125178.3
ENSMUSG00000095728	ENSG00000204479	PRAMEF17	AC125178.3
ENSMUSG00000095728	ENSG00000237700	PRAMEF33	AC125178.3
ENSMUSG00000095728	ENSG00000204501	PRAMEF15	AC125178.3
ENSMUSG00000095728	ENSG00000204480	PRAMEF19	AC125178.3
ENSMUSG00000095728	ENSG00000229571	PRAMEF25	AC125178.3
ENSMUSG00000095728	ENSG00000116721	PRAMEF1	AC125178.3
ENSMUSG00000095728	ENSG00000204481	PRAMEF14	AC125178.3
ENSMUSG00000095728	ENSG00000243073	PRAMEF4	AC125178.3
ENSMUSG00000095728	ENSG00000270601	PRAMEF5	AC125178.3
ENSMUSG00000095728	ENSG00000187545	PRAMEF10	AC125178.3
ENSMUSG00000095728	ENSG00000279169	PRAMEF13	AC125178.3
ENSMUSG00000095728	ENSG00000116726	PRAMEF12	AC125178.3
ENSMUSG00000095728	ENSG00000280267	PRAMEF26	AC125178.3
ENSMUSG00000095728	ENSG00000239810	PRAMEF11	AC125178.3
ENSMUSG00000095728	ENSG00000274764	PRAMEF27	AC125178.3
ENSMUSG00000095728	ENSG00000204478	PRAMEF20	AC125178.3
ENSMUSG00000095728	ENSG00000182330	PRAMEF8	AC125178.3
ENSMUSG00000095728	ENSG00000120952	PRAMEF2	AC125178.3
ENSMUSG00000095728	ENSG00000204510	PRAMEF7	AC125178.3
ENSMUSG00000095728	ENSG00000279804	PRAMEF18	AC125178.3
ENSMUSG00000098570	ENSG00000278526	AC002542.5	Gm27444
ENSMUSG00000088779	ENSG00000222791	RNU6-67P	Gm26034
ENSMUSG00000065443	ENSG00000283745	MIR196B	Mir196b
ENSMUSG00000065845	ENSG00000206629	RNU1-63P	Gm25189
ENSMUSG00000098939	ENSG00000276304	AC119740.1	Gm27919
ENSMUSG00000098939	ENSG00000281473	PISRT1	Gm27919
ENSMUSG00000089102	ENSG00000212584	RNU6-587P	Gm23113
ENSMUSG00000065807	ENSG00000252988	RNU6-111P	Gm23038
ENSMUSG00000088423	ENSG00000212228	AC009121.2	Gm22554
ENSMUSG00000088835	ENSG00000238795	SCARNA12	Gm23547
ENSMUSG00000065616	ENSG00000198973	MIR375	Mir375
ENSMUSG00000065301	ENSG00000201869	RNU6-294P	Gm23248
ENSMUSG00000096660	ENSG00000275529	SNORD116-4	Gm22863
ENSMUSG00000096660	ENSG00000207093	SNORD116-8	Gm22863
ENSMUSG00000096660	ENSG00000207063	SNORD116-1	Gm22863
ENSMUSG00000096660	ENSG00000207001	SNORD116-2	Gm22863
ENSMUSG00000096660	ENSG00000207014	SNORD116-3	Gm22863
ENSMUSG00000096660	ENSG00000207442	SNORD116-6	Gm22863
ENSMUSG00000096660	ENSG00000207133	SNORD116-7	Gm22863
ENSMUSG00000096660	ENSG00000207191	SNORD116-5	Gm22863
ENSMUSG00000096660	ENSG00000206727	SNORD116-9	Gm22863
ENSMUSG00000099302	ENSG00000277948	AC007435.1	Gm27421
ENSMUSG00000084558	ENSG00000252151	RNU6-1265P	Gm24836
ENSMUSG00000065518	ENSG00000266919	hsa-mir-423	Mir423
ENSMUSG00000065518	ENSG00000283935	MIR423	Mir423
ENSMUSG00000064452	ENSG00000201700	SNORD113-3	Gm24564
ENSMUSG00000065665	ENSG00000199986	RNU6-486P	Gm22577
ENSMUSG00000088777	ENSG00000281394	SCARNA4	Gm26039
ENSMUSG00000088777	ENSG00000280466	SCARNA4	Gm26039
ENSMUSG00000096343	ENSG00000199910	RNA5S10	n-R5s133
ENSMUSG00000096343	ENSG00000202521	RNA5S7	n-R5s133
ENSMUSG00000095764	ENSG00000212428	AC124303.1	Gm25840
ENSMUSG00000095764	ENSG00000212528	SNORD115-47	Gm25840
